
Номер листа доставки;XXX001L010101001


Накладная на   ;01/01-01;Код ЦА    ;XXX001
Дата отгрузки  ;01/01-01;Выдача з-з;01/01-01
Территория     ;001       ;Город     ;Н-ск


Клиент№   ;Заказ№    ;Имя клиента                   ;Тел.клиента;Паспортные данные клиента     ;Имя довер. лица               ;Паспортные данные довер. лица ;Кол-во кор.;Статус    ;Факт.дата выдачи;Факт.кол-во выданных коробок;Подпись
----------;----------;------------------------------;-----------;------------------------------;------------------------------;------------------------------;-----------;----------;----------------;----------------------------;--------
 000000001;  00000001;Иванова Джейн Эйр    ;9200000001 ;00 00 000001                  ;                              ;                              ;1          ;КРЕДИТ    ;                ;                            ;
 000000002;  00000002;Петрова Солдат Джейн;9800000002 ;00 00 000002                  ;                              ;                              ;1          ;КРЕДИТ    ;                ;                            ;
   X000003;  00000003;Сидорова Сара Конор;9530000003 ;00 00 000003                  ;                              ;                              ;1          ;КРЕДИТ    ;                ;                            ;

Итого кол-во коробок     3
общее кол-во заказов     3














































